 # Stamped by ../../../disorder on  1/09/2023 at 11:37:54
 #../../../disorder -ncall1 1000000 -pdf MSHT20nnlo_as118 -Q 10 -scaleuncert -pdfuncert -NC -noCC -E
 # ----------------------------------------------------------
 # Doing DIS @ n3lo  (e^- + p)
 # Inclusively in radiation
 # Including neutral current
 # With γ/Z
 # xmin, xmax:         9.8456206679269054E-004   1.0000000000000000
 # ymin, ymax:         0.0000000000000000        1.0000000000000000
 # Q2min, Q2max:       100.00000000000000        100.00000000000000      GeV^2
 # Electron energy:    27.600000000000001      GeV
 # Proton energy:      920.00000000000000      GeV
 # COM energy:         101568.00000000000      GeV^2
 # PDF:             MSHT20nnlo_as118
 # MZ:                 91.187600000000003
 # MW:                 80.397999999999996
 # nf:                         5
 # CA:                 3.0000000000000000
 # CF:                 1.3333333333333333
 # TR:                0.50000000000000000
 # αS(MZ):            0.11800072760577117
 # 1/αEM:              137.00000000000000
 # GF:                 1.1267023651653377E-005
 # sin(θ_W)^2:        0.22264585341299603
 # ----------------------------------------------------------
# dsigma/dlogx index   0
 -.69233136D+01 -.66463811D+01 0.18025661D+02 0.82496506D-01
 -.66463811D+01 -.63694485D+01 0.19612236D+02 0.86064197D-01
 -.63694485D+01 -.60925160D+01 0.20910947D+02 0.88851954D-01
 -.60925160D+01 -.58155834D+01 0.21813623D+02 0.90623829D-01
 -.58155834D+01 -.55386509D+01 0.21814665D+02 0.90678059D-01
 -.55386509D+01 -.52617183D+01 0.21517672D+02 0.90039855D-01
 -.52617183D+01 -.49847858D+01 0.20861537D+02 0.88757508D-01
 -.49847858D+01 -.47078533D+01 0.19825281D+02 0.86642488D-01
 -.47078533D+01 -.44309207D+01 0.18751668D+02 0.84365222D-01
 -.44309207D+01 -.41539882D+01 0.17458483D+02 0.81548970D-01
 -.41539882D+01 -.38770556D+01 0.16315622D+02 0.78843605D-01
 -.38770556D+01 -.36001231D+01 0.15118838D+02 0.76063487D-01
 -.36001231D+01 -.33231905D+01 0.13991081D+02 0.73216629D-01
 -.33231905D+01 -.30462580D+01 0.13183621D+02 0.71043280D-01
 -.30462580D+01 -.27693254D+01 0.12145925D+02 0.68265366D-01
 -.27693254D+01 -.24923929D+01 0.11309120D+02 0.65807175D-01
 -.24923929D+01 -.22154604D+01 0.10402959D+02 0.63339431D-01
 -.22154604D+01 -.19385278D+01 0.96749117D+01 0.60863636D-01
 -.19385278D+01 -.16615953D+01 0.88058517D+01 0.58434797D-01
 -.16615953D+01 -.13846627D+01 0.78152357D+01 0.55139272D-01
 -.13846627D+01 -.11077302D+01 0.62954982D+01 0.50830068D-01
 -.11077302D+01 -.83079763D+00 0.43927170D+01 0.41958410D-01
 -.83079763D+00 -.55386509D+00 0.23854141D+01 0.33374491D-01
 -.55386509D+00 -.27693254D+00 0.72586864D+00 0.11004120D-01
 -.27693254D+00 0.00000000D+00 0.56761313D-01 0.11554381D-02


# dsigma/dx index   1
 0.00000000D+00 0.40000000D-01 0.17385614D+04 0.11108979D+01
 0.40000000D-01 0.80000000D-01 0.20909363D+03 0.72398744D+00
 0.80000000D-01 0.12000000D+00 0.10535136D+03 0.52507705D+00
 0.12000000D+00 0.16000000D+00 0.66915482D+02 0.42301213D+00
 0.16000000D+00 0.20000000D+00 0.47695301D+02 0.35802719D+00
 0.20000000D+00 0.24000000D+00 0.35648541D+02 0.31081583D+00
 0.24000000D+00 0.28000000D+00 0.26661531D+02 0.26529795D+00
 0.28000000D+00 0.32000000D+00 0.20187251D+02 0.24957334D+00
 0.32000000D+00 0.36000000D+00 0.15493279D+02 0.21102312D+00
 0.36000000D+00 0.40000000D+00 0.11483702D+02 0.16721599D+00
 0.40000000D+00 0.44000000D+00 0.87033454D+01 0.17188111D+00
 0.44000000D+00 0.48000000D+00 0.65732165D+01 0.15976789D+00
 0.48000000D+00 0.52000000D+00 0.48758855D+01 0.12232233D+00
 0.52000000D+00 0.56000000D+00 0.33150690D+01 0.88513414D-01
 0.56000000D+00 0.60000000D+00 0.24578939D+01 0.65725306D-01
 0.60000000D+00 0.64000000D+00 0.15112589D+01 0.43865888D-01
 0.64000000D+00 0.68000000D+00 0.10273508D+01 0.30136986D-01
 0.68000000D+00 0.72000000D+00 0.63778038D+00 0.19286330D-01
 0.72000000D+00 0.76000000D+00 0.35439484D+00 0.11430229D-01
 0.76000000D+00 0.80000000D+00 0.21437417D+00 0.67926507D-02
 0.80000000D+00 0.84000000D+00 0.10268146D+00 0.34378890D-02
 0.84000000D+00 0.88000000D+00 0.43589810D-01 0.15415635D-02
 0.88000000D+00 0.92000000D+00 0.16507177D-01 0.58769273D-03
 0.92000000D+00 0.96000000D+00 0.33660117D-02 0.13630882D-03
 0.96000000D+00 0.10000000D+01 0.21693035D-03 0.12079292D-04


# dsigma/dlogQ^2 index   2
 0.00000000D+00 0.13846627D+00 0.00000000D+00 0.00000000D+00
 0.13846627D+00 0.27693254D+00 0.00000000D+00 0.00000000D+00
 0.27693254D+00 0.41539882D+00 0.00000000D+00 0.00000000D+00
 0.41539882D+00 0.55386509D+00 0.00000000D+00 0.00000000D+00
 0.55386509D+00 0.69233136D+00 0.00000000D+00 0.00000000D+00
 0.69233136D+00 0.83079763D+00 0.00000000D+00 0.00000000D+00
 0.83079763D+00 0.96926391D+00 0.00000000D+00 0.00000000D+00
 0.96926391D+00 0.11077302D+01 0.00000000D+00 0.00000000D+00
 0.11077302D+01 0.12461965D+01 0.00000000D+00 0.00000000D+00
 0.12461965D+01 0.13846627D+01 0.00000000D+00 0.00000000D+00
 0.13846627D+01 0.15231290D+01 0.00000000D+00 0.00000000D+00
 0.15231290D+01 0.16615953D+01 0.00000000D+00 0.00000000D+00
 0.16615953D+01 0.18000615D+01 0.00000000D+00 0.00000000D+00
 0.18000615D+01 0.19385278D+01 0.00000000D+00 0.00000000D+00
 0.19385278D+01 0.20769941D+01 0.00000000D+00 0.00000000D+00
 0.20769941D+01 0.22154604D+01 0.00000000D+00 0.00000000D+00
 0.22154604D+01 0.23539266D+01 0.66656117D+03 0.74789419D-01
 0.23539266D+01 0.24923929D+01 0.00000000D+00 0.00000000D+00
 0.24923929D+01 0.26308592D+01 0.00000000D+00 0.00000000D+00
 0.26308592D+01 0.27693254D+01 0.00000000D+00 0.00000000D+00
 0.27693254D+01 0.29077917D+01 0.00000000D+00 0.00000000D+00
 0.29077917D+01 0.30462580D+01 0.00000000D+00 0.00000000D+00
 0.30462580D+01 0.31847243D+01 0.00000000D+00 0.00000000D+00
 0.31847243D+01 0.33231905D+01 0.00000000D+00 0.00000000D+00
 0.33231905D+01 0.34616568D+01 0.00000000D+00 0.00000000D+00


# dsigma/dQ^2 index   3
 0.00000000D+00 0.12747894D+01 0.00000000D+00 0.00000000D+00
 0.12747894D+01 0.25495788D+01 0.00000000D+00 0.00000000D+00
 0.25495788D+01 0.38243682D+01 0.00000000D+00 0.00000000D+00
 0.38243682D+01 0.50991576D+01 0.00000000D+00 0.00000000D+00
 0.50991576D+01 0.63739470D+01 0.00000000D+00 0.00000000D+00
 0.63739470D+01 0.76487364D+01 0.00000000D+00 0.00000000D+00
